Company Name,Industry,Symbol,Series,ISIN Code
Dish TV India Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,DISHTV,BE,INE836F01026
Hathway Cable & Datacom Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,HATHWAY,EQ,INE982F01036
Inox Leisure Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,INOXLEISUR,EQ,INE312H01016
Nazara Technologies Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,NAZARA,BE,INE418L01021
Network18 Media & Investments Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,NETWORK18,EQ,INE870H01013
PVR Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,PVR,EQ,INE191H01014
Saregama India Ltd,MEDIA ENTERTAINMENT & PUBLICATION,SAREGAMA,BE,INE979A01017
Sun TV Network Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,SUNTV,EQ,INE424H01027
TV18 Broadcast Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,TV18BRDCST,EQ,INE886H01027
Zee Entertainment Enterprises Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,ZEEL,EQ,INE256A01028
