Company Name,Industry,Symbol,Series,ISIN Code
Abbott India Ltd.,PHARMA,ABBOTINDIA,EQ,INE358A01014
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013
Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023
Gland Pharma Ltd.,PHARMA,GLAND,EQ,INE068V01023
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Ipca Laboratories Ltd.,PHARMA,IPCALAB,EQ,INE571A01020
Laurus Labs Ltd.,PHARMA,LAURUSLABS,EQ,INE947Q01028
Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,EQ,INE987B01026
Pfizer Ltd.,PHARMA,PFIZER,EQ,INE182A01018
Strides Pharma Science Ltd.,PHARMA,STAR,EQ,INE939A01011
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,EQ,INE685A01028
